#,Hasło,Uwaga
1,Abrahamowicz Dawid 1839-1926,Poseł na Sejm Ust. 1919-22.
2,Abramowicz Witold 1874-1941?,"Poseł na Sejm Ust. 1919-22 (od 24.03.1922, zrzekł się mandatu 30.03.1922)."
3,Adam Ernest 1868-1926,Poseł na Sejm Ust. 1919-22.
4,Adamski Stanisław 1875-1967,Poseł na Sejm Ust. 1919-22.
5,Anusz Antoni 1884-1935,Poseł na Sejm Ust. 1919-22 oraz I i II kadencji 1922-30 (zrzekł się mandatu 8.09.1928).
6,Arcichowski Michał 1863-1937,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
7,Arciszewski Tomasz Andrzej 1877-1955,"Poseł na Sejm Ust. 1919-22 oraz I, II i III kadencji 1922-35."
8,Babicz Jan 1869-1924,Poseł na Sejm Ust. 1919-22.
9,Bagiński Kazimierz Florian 1890-1966,Poseł na Sejm Ust. 1919-22 oraz I i II kadencji 1922-30.
10,Bagiński Stanisław 1881-po 1941,Poseł na Sejm Ust. 1919-22 (od 30.03.1922).
11,Balicka Gabriela z d. Iwanowska 1871-1962,"Posłanka na Sejm Ust. 1919-22 oraz I, II i III kadencji 1922-1935."
12,Bańkowski Witold Antoni 1864-1942,"Poseł na Sejm Ust. 1919-1922 (od 24.03.1922, zrzekł się mandatu 30.03.1922)."
13,Baranowski Wincenty 1877-1957,Poseł na Sejm Ust. 1919-22 oraz I i II kadencji 1922-30.
14,Barczewski Ernst 1861-1937,Poseł na Sejm Ust. 1919-22 (od 8.06.1920).
15,Bardel Franciszek 1869-1941,Poseł na Sejm Ust. 1919-22 (zrzekł się mandatu 15.11.1921).
16,Barlicki Norbert Stanisław 1880-1941,"Poseł na Sejm Ustawodawczy 1919-22 oraz I, II i III kadencji 1922-1935 (wygaśnięcie mandatu 5"
17,Baworowski Jerzy 1870-1933,Poseł na Sejm Ust. 1919-22.
18,Bednarczyk Józef 1875-1928,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
19,Bieńkowski Edmund Marcin 1888-1938,Poseł na Sejm Ust. 1919-22 (zrzekł się mandatu 9.01.1920).
20,Bigoński Edmund 1891-1937,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
21,Biliński Józef 1889-1948,Poseł na Sejm Ust. 1919-22.
22,Bliziński Wacław 1870-1944,Poseł na Sejm Ust. 1919-22.
23,Błachnio Józef 1858-1926,Poseł na Sejm Ust. 1919-22.
24,Błyskosz Józefat 1876-1947,Poseł na Sejm Ust. 1919-22 (ślubowanie 3.04.1919) i III kadencji 1930-35.
25,Bobek Paweł 1883-1945,Poseł na Sejm Ust. 1919-22 (uznany za posła 14.03.1919) i I kadencji 1922-27.
26,Bobrowski Emil 1876-1938,Poseł na Sejm Ust. 1919-22 oraz I i II kadencji 1922-30 (zrzekł się mandatu 22.03.1929).
27,Bochenek Józef 1886-1924,Poseł na Sejm Ust. 1919-22.
28,Bochenek Szczepan 1868-1939,Poseł na Sejm Ust. 1919-22.
29,Bojanowski Michał Ignacy 1865-1932,Poseł na Sejm Ust. 1919-22.
30,Bojko Jakub 1857-1943,Poseł na Sejm Ust. 1919-22 (wicemarszałek) i II kadencji (marszałek senior) 1928-30.
31,Bolt Feliks 1864-1940,Poseł na Sejm Ust. 1919-1922 (od 8.06.1920).
32,Boruń Władysław 1874-po 1926,Poseł na Sejm Ust. 1919-22 (ślubowanie 6.07.1919).
33,Brandys Paweł 1869-1950,Poseł na Sejm Ust. 1919-22.
34,Brejski Izydor 1872-1935,Poseł na Sejm Ust. 1919-22 (od 1.06.1920).
35,Brejski Jan 1863-1934,"Poseł na Sejm Ust. 1919-22 (od 1.06.1920, zrzekł się mandatu 24.09.1920)."
36,Bresiński Stanisław 1875-1956,Poseł na Sejm Ust. 1919-22.
37,Brodziak Jan 1867-1944,Poseł na Sejm Ust. 1919-22.
38,Brownsford Kazimierz 1856-1925,"Poseł na Sejm Ustawodawczy 1919-22 i I kadencji 1922-27 (Marszałek Senior, zmarł 11.09.1925)."
39,Brun Stanisław Gustaw 1854-1925,Poseł na Sejm Ust. 1919-22.
40,Bryl Jan 1885-1945,Poseł na Sejm Ust. 1919-22 (sekretarz Sejmu) i I kadencji 1922-27.
41,Brzosko Władysław 1856-1940,Poseł na Sejm Ust. 1919-22.
42,Brzostowski Stanisław 1880-1955,Poseł na Sejm Ust. 1919-22 (od 24.03.1922).
43,Buczny Franciszek 1871-po 1922,Poseł na Sejm Ust. 1919-22.
44,Bujak Antoni 1891-1945,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
45,Burakowski Piotr 1887-?,Poseł na Sejm Ust. 1919-22.
46,Buzek Józef 1873-1936,Poseł na Sejm Ust. 1919-22.
47,Cegiełka Wacław 1887-1966,Poseł na Sejm Ust. 1919-22 (zrzekł się mandatu 1.10.1919).
48,Chadryś vel Chudryś Jan 1867-1954,Poseł na Sejm Ust. 1919-22.
49,Chaniewski Stanisław Antoni 1859-1920,Poseł na Sejm Ust. 1919-22 (zmarł 4.11.1920).
50,Chądzyński Adam 1882-1963,"Poseł na Sejm Ust. 1919-22 (od 1.06.1920) oraz I, II i III kadencji 1922-35."
51,Chłapowski Antoni 1855-1927,Poseł na Sejm Ust. 1919-22.
52,Chomiński Ludwik 1890-1958,Poseł na Sejm Ust. 1919-22 (od 24.03.1922) i I kadencji 1922-27.
53,Chrzanowski Władysław 1886-1933,Poseł na Sejm Ust. 1919-22 (zrzekł się mandatu 6.12.1921).
54,Chudy Antoni 1880-1935,Poseł na Sejm Ust. 1919-22 i II kadencji 1928-30.
55,Cianciara Jan 1875-1947,Poseł na Sejm Ust. 1919-22.
56,Ciekot Szczepan 1885-1964,Poseł na Sejm Ust. 1919-22. Zrzekł się mandatu 10 V 1920 na rzecz Aleksandra Niedbalskiego (z
57,Cieśla Adam Wiktor 1883-1944,Poseł na Sejm Ust. 1919-22
58,Czapiński Kazimierz 1882-przed 1941,"Poseł na Sejm Ust. 1919-22 oraz I, II i III kadencji 1922-35."
59,Czarnowski Wiktor 1889-po 1942,Poseł na Sejm Ust. 1919-22 (od 24.03.1922).
60,Czerniewski Artemiusz Ludomił 1883-?,Poseł na Sejm Ust. 1919-22 (od maja 1920) i I kadencji 1922-27.
61,Czetwertyński-Światopełk książę Seweryn Franciszek 1873-1945,"Poseł na Sejm Ust. 1919-22 (od 20.03.1919) oraz I (czł. Sądu Honorowego), II (wicemarszałek"
62,Ćwikowski Stanisław 1877-1960,Poseł na Sejm Ust. 1919-22.
63,Dachowski Filip 1893-1962,Poseł na Sejm Ust. 1919-22 i I kadencji 1922-27.
